
turbo_seti version 2.1.17
blimpy version 2.0.31
h5py version 3.5.0

HDF5 header info: {'DIMENSION_LABELS': array(['time', 'feed_id', 'frequency'], dtype=object), 'az_start': 0.0, 'data_type': 1, 'fch1': 3151.46484375, 'foff': -2.7939677238464355e-06, 'machine_id': 20, 'nbits': 32, 'nchans': 536870912, 'nifs': 1, 'source_name': 'ON_S', 'src_dej': <Angle 60.8686 deg>, 'src_raj': <Angle 2.65636667 hourangle>, 'telescope_id': 6, 'tsamp': 18.253611007999982, 'tstart': 59524.2031712963, 'za_start': 0.0}

Starting ET search with parameters: datafile=/gpfs/group/jtw13/default/gbt_2020/2021/S_band/splice_no_overlap_ordered/spliced_blc0x1x2x_guppi_59524_17554_ON_S_0034.rawspec.0000.h5, max_drift=0.23523575033112856, min_drift=0.0, snr=10.0, out_dir=/gpfs/group/jtw13/default/gbt_2020/2021/S_band/splice_no_overlap_ordered/, coarse_chans=None, flagging=False, n_coarse_chan=512, kernels=None, gpu_id=0, gpu_backend=False, blank_dc=True, precision=1, append_output=False, log_level_int=30, obs_info={'pulsar': 0, 'pulsar_found': 0, 'pulsar_dm': 0.0, 'pulsar_snr': 0.0, 'pulsar_stats': array([0., 0., 0., 0., 0., 0.]), 'RFI_level': 0.0, 'Mean_SEFD': 0.0, 'psrflux_Sens': 0.0, 'SEFDs_val': [0.0], 'SEFDs_freq': [0.0], 'SEFDs_freq_up': [0.0]}

Computed drift rate resolution: 0.00956648975722505

Top hit found! SNR 235.602264, Drift Rate -0.000000, index 433213
Top hit found! SNR 34.603939, Drift Rate -0.000000, index 435095
Top hit found! SNR 13.674582, Drift Rate -0.000000, index 435147
Top hit found! SNR 26.298191, Drift Rate -0.000000, index 436698
Top hit found! SNR 67.513039, Drift Rate -0.000000, index 466194
Top hit found! SNR 20.456259, Drift Rate -0.000000, index 468087
Top hit found! SNR 97.364113, Drift Rate -0.000000, index 499176
Top hit found! SNR 14.544898, Drift Rate -0.000000, index 501079
Top hit found! SNR 386.087799, Drift Rate -0.038266, index 524285
Top hit found! SNR 96.469421, Drift Rate -0.000000, index 532158
Top hit found! SNR 11.546881, Drift Rate -0.009566, index 534070
Top hit found! SNR 211.901642, Drift Rate -0.000000, index 565139
Top hit found! SNR 26.657305, Drift Rate -0.000000, index 567062
Top hit found! SNR 16.290644, Drift Rate -0.000000, index 567114
Top hit found! SNR 23.620417, Drift Rate -0.000000, index 568698
Top hit found! SNR 17.535202, Drift Rate -0.000000, index 598116
Top hit found! SNR 36.575470, Drift Rate -0.000000, index 631098
Top hit found! SNR 17.756863, Drift Rate -0.000000, index 664080
Top hit found! SNR 32.435135, Drift Rate -0.000000, index 697062
Top hit found! SNR 17.625055, Drift Rate -0.000000, index 699024
Top hit found! SNR 15.769878, Drift Rate -0.000000, index 730043
Top hit found! SNR 5246.839355, Drift Rate -0.000000, index 828984
Top hit found! SNR 1535.429077, Drift Rate -0.000000, index 831041
