
turbo_seti version 2.1.17
blimpy version 2.0.31
h5py version 3.5.0

HDF5 header info: {'DIMENSION_LABELS': array(['time', 'feed_id', 'frequency'], dtype=object), 'az_start': 0.0, 'data_type': 1, 'fch1': 2251.46484375, 'foff': -2.7939677238464355e-06, 'machine_id': 20, 'nbits': 32, 'nchans': 536870912, 'nifs': 1, 'source_name': 'ON_L', 'src_dej': <Angle 60.8686 deg>, 'src_raj': <Angle 2.65646667 hourangle>, 'telescope_id': 6, 'tsamp': 18.253611007999982, 'tstart': 59524.14275462963, 'za_start': 0.0}

Starting ET search with parameters: datafile=/gpfs/group/jtw13/default/gbt_2020/2021/L_band/splice_no_overlap_ordered/OFF_scan/spliced_blc0x1x2x_guppi_59524_12334_ON_L_0015.rawspec.0000.h5, max_drift=22.515, min_drift=0.0, snr=10.0, out_dir=/gpfs/group/jtw13/default/gbt_2020/2021/L_band/splice_no_overlap_ordered/OFF_scan/, coarse_chans=None, flagging=False, n_coarse_chan=512, kernels=None, gpu_id=0, gpu_backend=False, blank_dc=True, precision=1, append_output=False, log_level_int=30, obs_info={'pulsar': 0, 'pulsar_found': 0, 'pulsar_dm': 0.0, 'pulsar_snr': 0.0, 'pulsar_stats': array([0., 0., 0., 0., 0., 0.]), 'RFI_level': 0.0, 'Mean_SEFD': 0.0, 'psrflux_Sens': 0.0, 'SEFDs_val': [0.0], 'SEFDs_freq': [0.0], 'SEFDs_freq_up': [0.0]}

Computed drift rate resolution: 0.00956648975722505

Top hit found! SNR 70.227898, Drift Rate -0.000000, index 160594
Top hit found! SNR 80.864494, Drift Rate -0.000000, index 524287
Top hit found! SNR 148.007294, Drift Rate -0.000000, index 412440
Top hit found! SNR 80.458275, Drift Rate 0.028699, index 524289
Top hit found! SNR 10.250377, Drift Rate -0.000000, index 69953
Top hit found! SNR 79.733345, Drift Rate -0.000000, index 524287
Top hit found! SNR 15.941803, Drift Rate -0.000000, index 694492
Top hit found! SNR 24.213116, Drift Rate -0.000000, index 305531
Top hit found! SNR 81.184418, Drift Rate -0.000000, index 524289
Top hit found! SNR 24.438782, Drift Rate -0.000000, index 965146
Top hit found! SNR 81.262352, Drift Rate 0.038266, index 524289
Top hit found! SNR 10.700997, Drift Rate -0.000000, index 576185
Top hit found! SNR 81.442741, Drift Rate 0.019133, index 524289
Top hit found! SNR 81.674438, Drift Rate -0.000000, index 524289
Top hit found! SNR 80.840797, Drift Rate -0.000000, index 524289
Top hit found! SNR 14.698276, Drift Rate -0.009566, index 728532
Top hit found! SNR 28.464005, Drift Rate -0.000000, index 230687
Top hit found! SNR 80.623245, Drift Rate -0.000000, index 524289
Top hit found! SNR 116.651329, Drift Rate 0.038266, index 524289
Top hit found! SNR 18.056877, Drift Rate -0.000000, index 971680
Top hit found! SNR 81.129295, Drift Rate -0.000000, index 524287
Top hit found! SNR 80.960739, Drift Rate -0.000000, index 524289
Top hit found! SNR 31534.546875, Drift Rate -0.000000, index 664098
Top hit found! SNR 78.411285, Drift Rate -0.000000, index 524287
Top hit found! SNR 10.557876, Drift Rate -0.009566, index 762573
Top hit found! SNR 10.740318, Drift Rate -0.000000, index 356516
Top hit found! SNR 556.423401, Drift Rate -0.009566, index 373612
Top hit found! SNR 77.761330, Drift Rate 0.038266, index 524289
Top hit found! SNR 65.640518, Drift Rate -0.009566, index 1033227
Top hit found! SNR 77.490402, Drift Rate -0.038266, index 524287
Top hit found! SNR 20.832382, Drift Rate -0.009566, index 644266
Top hit found! SNR 28.457161, Drift Rate -0.009566, index 1033227
Top hit found! SNR 33.429443, Drift Rate -0.009566, index 255305
